route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13111F2479808:2023-12-08T00:34:49Z,13111,1,156,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13111F2488577:2023-10-04T00:41:06Z,13111,1,157,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13111F2647140:2023-12-18T00:30:53Z,13111,1,158,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000038,OCESN13112F2479815:2023-12-12T00:43:19Z,13112,0,159,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13113F2641012:2023-12-17T00:29:43Z,13113,1,160,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13114F2481083:2023-12-18T00:30:53Z,13114,0,161,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13115F2636743:2023-12-17T00:29:43Z,13115,1,162,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13116F2636185:2023-12-17T00:29:43Z,13116,0,163,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13117F2477279:2023-12-08T00:34:49Z,13117,,164,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000038,OCESN13117F2480467:2023-12-12T00:43:19Z,13117,,165,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13117F2480468:2023-12-18T00:30:53Z,13117,,166,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000040,OCESN13118F2479294:2023-12-18T00:30:53Z,13118,0,167,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000041,OCESN13118F2479538:2023-12-12T00:43:19Z,13118,0,168,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000042,OCESN13118F2602503:2023-10-04T00:41:06Z,13118,0,169,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000043,OCESN13118F2636405:2023-11-20T00:36:28Z,13118,0,170,
